,meme_stock,ticker,price_2020-12-01,wsv_2020-12-01,price_2020-12-16,wsv_2020-12-16,price_2021-01-04,wsv_2021-01-04,price_2021-01-20,wsv_2021-01-20,regularMarketPrice,logo_url,trailingPegRatio,zip,sector,fullTimeEmployees,city,state,country,maxAge,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneShortName,isEsgPopulated,quoteType,market,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,legalType,lastDividendDate,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,dividendRate,exDividendDate,startDate,regularMarketDayLow,trailingPE,regularMarketVolume,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,fax
46,False,ITCI,23.579999923706055,0,26.389999389648438,0,32.01499938964844,0,33.150001525878906,0,51.83,https://logo.clearbit.com/intracellulartherapies.com,,10016,Healthcare,512.0,New York,NY,United States,1.0,Drug Manufacturers—Specialty & Generic,-1.6030499,-1.58393,0.2212,-304176480.0,2.236,-1.60655,-301558752.0,50.0,buy,-13077085.0,-196405920.0,69.0,51.83,,9.815,-0.28213,13.0,68.69,3.853,-0.50839,93.0,628740992.0,26412000.0,188116016.0,6.639,USD,2.073,8.917,1.8,NMS,Intra-Cellular Therapies Inc.,"Intra-Cellular Therapies, Inc.",EST,False,EQUITY,us_market,23.365,,-14.575,0.42737353,,-1.65,,94705104.0,,,,7.238,2791103.0,0.0295,,1640908800.0,0.94725,-297963680.0,-3.606,,-0.14422739,7.160818,0.026129998,1703980800.0,,1664496000.0,3.83,1667174400.0,87693092.0,1.176005,4395256832.0,2.0,,,,,26.093288,1669766400.0,-0.08,,-31.412123,,0.0339,4057793.0,0.0,,52.77,52.44,53.68785,0.0,0.0,,52.44,,528230.0,52.77,49.8884,0.0,52.44,528230.0,,,,51.44,,812081.0,,4908565504.0,,,683849.0,51.44,51.9,800.0,812081.0,66.0,,36.2,51.0,False,,800.0,52.44,
47,False,RRC,7.399024730112812,0,7.339355503449667,0,6.8421089565382465,0,9.547129453416836,0,,,1.4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,False,USFD,32.06999969482422,1,33.439998626708984,0,33.40999984741211,0,35.0099983215332,0,36.58,https://logo.clearbit.com/usfoods.com,0.6883,60018,Consumer Defensive,28000.0,Rosemont,IL,United States,1.0,Food Distribution,0.02809,0.0072600003,0.15913,512000000.0,0.13,0.01709,932000000.0,34.0,buy,4655000000.0,158500000.0,42.0,36.58,0.792,1.356,0.026889998,15.0,41.07,115.579,0.055770002,48.0,366000000.0,5155999744.0,33180999680.0,1.627,USD,148.461,0.761,2.1,NYQ,US Foods Holding Corp.,US Foods Holding Corp.,EST,False,EQUITY,us_market,0.401,,14.293,0.14358485,,2.66,,224891008.0,,,,17.453,1809977.0,0.008,,1640995200.0,1.0083699,204000000.0,0.89,,-0.13534117,2.0959148,0.0062599997,1704067200.0,,1664582400.0,1.27,1665705600.0,204697696.0,1.392455,13321110528.0,2.0,,,,0.703,0.24792844,1668470400.0,0.61,,13.75188,,0.0091,3225349.0,0.0,,35.92,35.97,32.7194,0.0,0.0,,36.63,,1456390.0,35.92,29.7834,0.0,35.97,1456390.0,,,,35.805,41.101128,3898570.0,,8226513408.0,,,1533421.0,35.805,0.0,800.0,3898570.0,39.73,,25.49,0.0,False,,900.0,36.63,
49,False,RRX,112.50142604343877,0,110.95697066529091,0,116.19529659696546,0,128.4500753940468,0,,,1.0958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,False,PSO,8.27999855622878,0,8.507888200437556,0,8.916191060040864,0,9.32449360409524,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,False,VIPS,24.809999465942383,0,25.020000457763672,0,28.440000534057617,0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,False,EXAS,122.83000183105469,0,129.4600067138672,0,128.1999969482422,0,151.47999572753906,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,False,HUBS,392.0,0,383.260009765625,0,396.44000244140625,0,397.0400085449219,0,,,2.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,False,MOS,21.94353548073244,0,22.94649748005181,0,22.926859489503585,0,28.445016024132965,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,False,AEE,73.79520860210569,0,74.94851704132863,0,73.65825487008478,0,68.67750021686194,0,,,2.5226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
